date_found,category,source,title,company,location,comp,link
2026-06-30,Closer,Jooble,Remote High-Ticket Closer: Inbound Leads (No Cold Calling),ARGUMENTORIK ACADEMY,"New Bremen, OH",,https://jooble.org/jdp/7249749433632891379
2026-06-30,Closer,JSearch,Remote Inbound Sales Specialist,Crushing It On Camera,Remote,,https://www.simplyhired.com/job/DZE-5oMxsKZ7bRmaVCmCHwnRglMxihcgFWrgOUI2p78V6WXOtOIfBg
2026-06-30,Closer,Jooble,Remote Sales Setters and Closers,Enterprise Elite / Ready Property Leads,Remote,"$6,000 - $7,000 per month",https://jooble.org/jdp/7060056032386346472
2026-06-30,Closer,Jooble,Remote Sales Opportunity High-Ticket Closers & Appointment Setters,Scale Sales Teams,"Phoenix, AZ","$1,000 - $1,500 per week",https://jooble.org/jdp/-780641165987079702
2026-06-30,Closer,JSearch,Remote High Ticket Sales Closer for B2B Offer for Amazon Sellers,Sophie Society,Remote,$100000-$170000,https://www.simplyhired.com/job/df94soHlOboncZHOKxzsWqiNVPI-HFuZzxdSXkpTGMVJRJiTSBJI6w
2026-06-30,Closer,Jooble,Remote B2B Closer — High Commission Potential,Terraboost Media,"Des Moines, IA","$8,000 per month",https://jooble.org/jdp/4212084109936845613
2026-06-30,Closer,Jooble,Remote B2B Ad Sales Closer — High Commission,Terraboost Media,"Hamilton, OH",,https://jooble.org/jdp/-7660841877437749495
2026-06-30,Success (CSM / customer / client / onboarding),Jooble,Remote Enterprise Customer Success Manager,Revenue.io,"New York, NY",$120k - $165k,https://jooble.org/jdp/-8573995320875690184
2026-06-30,Success (CSM / customer / client / onboarding),Jooble,"Customer Success Manager (Low Touch, East Coast) - n8n | Remote (Boston, MA)",School Result,"Boston, MA",$145k,https://jooble.org/jdp/1521395964996094126
2026-06-30,Success (CSM / customer / client / onboarding),Jooble,Remote Customer Success Manager — Loyalty & Promotions SaaS,Talon.One LinkedIn Jobs,"Boston, MA",$125k,https://jooble.org/jdp/7126742358273441211
2026-06-30,Success (CSM / customer / client / onboarding),Jooble,"Customer Success Manager, West at Vercel Remote",Vercel,"New York, NY",$115k - $150k,https://jooble.org/jdp/-8219974835489269675
2026-06-30,VA / Social / Chat,Jooble,Virtual Assistant,APEX Homes,"New York, NY",,https://jooble.org/jdp/-3957455222546418013
2026-06-30,VA / Social / Chat,Jooble,Virtual Assistant (Dubsado Experience),School Result,"California, MO",$23 per hour,https://jooble.org/jdp/-3430027622690946138
2026-06-30,VA / Social / Chat,Jooble,Virtual Assistant PAN (Remote),Simera,"San Francisco, CA",,https://jooble.org/jdp/-7065898001148195260
